PREFERENCE,PROPERTY_TYPE,CITY,LOCALITY,TRANSACT_TYPE,OWNTYPE, PRICE_PER_UNIT_AREA ,,FURNISH,FACING,AGE,FLOOR_NUM,TOTAL_FLOOR,REGISTER_DATE,PROP_NAME,MIN_PRICE ,MAX_PRICE ,PRICE_SQFT ,,LISTING,CARPET_SQFT,SUPERBUILTUP_SQFT,BROKERAGE,MIN_AREA_SQFT, MAX_AREA_SQFT ,GROUP_NAME,AREA,PRICE,SOCIETY_NAME,BUILDING_NAME
S,Residential Apartment,Gurgaon,Sector 84 Gurgaon,1,1,8766.00,,4,1,2,14,26,"29th Sep, 2023",Alpha Corp GurgaonOne 84,26300000.00,26300000.00,8766.00,,R,3000,3434,263000.00,319.03, ? 319.03 ,SPID_GROUP_SEARCH_NORMAL,3434 sq.ft.,26300000.00,Alpha Corp GurgaonOne 84,Alpha Corp GurgaonOne 84
S,Residential Apartment,Gurgaon,Sector 81 Gurgaon,1,1,21176.00,,4,1,1,7,29,"29th Sep, 2023",DLF The Ultima,36000000.00,36000000.00,21176.00,,R,1700,2870,1.00,266.63, ? 266.63 ,SPID_GROUP_SEARCH_NORMAL,2870 sq.ft.,36000000.00,DLF The Ultima,DLF The Ultima
R,Residential Apartment,Gurgaon,Sector 66 Gurgaon,,0,43.00,,1,4,1,7,17,"27th Sep, 2023",Emaar MGF The Palm Drive,85000.00,85000.00,43.00,,R,1450,1950,42000.00,181.16, ? 181.16 ,SPID_GROUP_SEARCH_NORMAL,1950 sq.ft.,85000.00,Emaar MGF The Palm Drive,Emaar MGF The Palm Drive
S,Residential Apartment,Gurgaon,Sector 112 Gurgaon,1,1,13740.00,,4,0,1,14,28,"23rd Sep, 2023",Experion Windchants,38500000.00,38500000.00,13740.00,,R,,2802,1.00,260.31, ? 260.31 ,SPID_GROUP_SEARCH_NORMAL,2802 sq.ft.,38500000.00,Experion Windchants,Experion Windchants
R,Residential Apartment,Gurgaon,Sector 104 Gurgaon,,0,17.00,,4,6,1,12,27,"23rd Sep, 2023",ATS Triumph,40000.00,40000.00,17.00,,R,,2290,1.00,212.75, ? 212.75 ,SPID_GROUP_SEARCH_NORMAL,2290 sq.ft.,40000.00,ATS Triumph,ATS Triumph
S,Residential Apartment,Gurgaon,Sector 104 Gurgaon,1,1,8515.00,,4,2,1,4,27,"23rd Sep, 2023",ATS Triumph,19500000.00,19500000.00,8515.00,,R,,2290,1.00,212.75, ? 212.75 ,SPID_GROUP_SEARCH_NORMAL,2290 sq.ft.,19500000.00,ATS Triumph,ATS Triumph
R,Residential Apartment,Gurgaon,Sector 104 Gurgaon,,0,14.00,,4,8,1,7,27,"23rd Sep, 2023",ATS Triumph,45000.00,45000.00,14.00,,R,,3150,1.00,292.64, ? 292.64 ,SPID_GROUP_SEARCH_NORMAL,3150 sq.ft.,45000.00,ATS Triumph,ATS Triumph
S,Residential Apartment,Gurgaon,Sector 74 Gurgaon,1,1,11571.00,,2,3,6,12,30,"24th Sep, 2023",M3M Skywalk,16200000.00,16200000.00,11571.00,,R,,1400,1.00,130.06, ? 130.06 ,SPID_GROUP_SEARCH_NORMAL,1400 sq.ft.,16200000.00,M3M Skywalk,M3M Skywalk
S,Residential Land,Gurgaon,Sector 108 Gurgaon,1,1,119889.00,,0,0,0,,3,"21st Sep, 2023",Experion The Westerlies,21700000.00,21700000.00,119889.00,,R,,,1.00,151.34, ? 151.34 ,SPID_GROUP_SEARCH_NORMAL,1629 sq.ft.,21700000.00,Experion The Westerlies,Experion The Westerlies
S,Independent/Builder Floor,Gurgaon,Sector 102 Gurgaon,1,1,72607.00,,4,6,1,G,3,"21st Sep, 2023",BPTP Amstoria,22000000.00,22000000.00,72607.00,,R,,2727,1.00,253.35, ? 253.35 ,SPID_GROUP_SEARCH_NORMAL,2727 sq.ft.,22000000.00,BPTP Amstoria,BPTP Amstoria
S,Residential Land,Gurgaon,Sector 99 Gurgaon,1,1,160000.00,,0,4,0,,2,"21st Sep, 2023",G99,41600000.00,41600000.00,160000.00,,R,,,1.00,217.39, ? 217.39 ,SPID_GROUP_SEARCH_NORMAL,2340 sq.ft.,41600000.00,G99,G99
S,Residential Apartment,Gurgaon,Sector 60 Gurgaon,1,1,15463.00,,4,5,1,39,39,"21st Sep, 2023",Ireo Skyon,75000000.00,75000000.00,15463.00,,R,3080,4850,750000.00,450.58, ? 450.58 ,SPID_GROUP_SEARCH_NORMAL,4850 sq.ft.,75000000.00,Ireo Skyon,Ireo Skyon
S,Residential Apartment,Gurgaon,Sector 74 Gurgaon,1,1,11428.00,,2,3,6,16,30,"28th Sep, 2023",M3M Skywalk,16000000.00,16000000.00,11428.00,,R,,1400,1.00,130.06, ? 130.06 ,SPID_GROUP_SEARCH_NORMAL,1400 sq.ft.,16000000.00,M3M Skywalk,M3M Skywalk
R,Residential Apartment,Gurgaon,Sector 66 Gurgaon,,0,35.00,,4,4,1,G,17,"17th Sep, 2023",Emaar MGF The Palm Drive,70000.00,70000.00,35.00,,R,1450,1950,35000.00,181.16, ? 181.16 ,SPID_GROUP_SEARCH_NORMAL,1950 sq.ft.,70000.00,Emaar MGF The Palm Drive,Emaar MGF The Palm Drive
S,Residential Apartment,Gurgaon,Sector 66 Gurgaon,1,1,23648.00,,4,4,1,4,17,"17th Sep, 2023",Emaar MGF The Palm Drive,35000000.00,35000000.00,23648.00,,R,1480,1950,350000.00,181.16, ? 181.16 ,SPID_GROUP_SEARCH_NORMAL,1950 sq.ft.,35000000.00,Emaar MGF The Palm Drive,Emaar MGF The Palm Drive
